text,clean,casefolding,tokenize,stopwords,stemming
"b'@txtdaritekno Gak usah sok keren data bocor di darkweb, karena warga negara udah sering kebocoran data ktp &amp; KK di bungkus kacang &amp; gorengan \xf0\x9f\x98\x82'", Gak usah sok keren data bocor di darkweb karena warga negara udah sering kebocoran data ktp amp KK di bungkus kacang amp gorengan , gak usah sok keren data bocor di darkweb karena warga negara udah sering kebocoran data ktp amp kk di bungkus kacang amp gorengan ,"['gak', 'usah', 'sok', 'keren', 'data', 'bocor', 'di', 'darkweb', 'karena', 'warga', 'negara', 'udah', 'sering', 'kebocoran', 'data', 'ktp', 'amp', 'kk', 'di', 'bungkus', 'kacang', 'amp', 'gorengan']","['gak', 'sok', 'keren', 'data', 'bocor', 'darkweb', 'warga', 'negara', 'udah', 'kebocoran', 'data', 'ktp', 'amp', 'kk', 'bungkus', 'kacang', 'amp', 'gorengan']",gak sok keren data bocor darkweb warga negara udah bocor data ktp amp kk bungkus kacang amp goreng
b'@ameamakunai Bisa aja email kak ame bocor trus ada nomornya yang nyambung(?) ke emailnya. Mending cari di getcontact trus di-block kak kalo ngga kenal. Soalnya belum ada cara buat ngatasin data bocor', Bisa aja email kak ame bocor trus ada nomornya yang nyambung ke emailnya Mending cari di getcontact trus diblock kak kalo ngga kenal Soalnya belum ada cara buat ngatasin data bocor, bisa aja email kak ame bocor trus ada nomornya yang nyambung ke emailnya mending cari di getcontact trus diblock kak kalo ngga kenal soalnya belum ada cara buat ngatasin data bocor,"['bisa', 'aja', 'email', 'kak', 'ame', 'bocor', 'trus', 'ada', 'nomornya', 'yang', 'nyambung', 'ke', 'emailnya', 'mending', 'cari', 'di', 'getcontact', 'trus', 'diblock', 'kak', 'kalo', 'ngga', 'kenal', 'soalnya', 'belum', 'ada', 'cara', 'buat', 'ngatasin', 'data', 'bocor']","['aja', 'email', 'kak', 'ame', 'bocor', 'trus', 'nomornya', 'nyambung', 'emailnya', 'mending', 'cari', 'getcontact', 'trus', 'diblock', 'kak', 'kalo', 'ngga', 'kenal', 'ngatasin', 'data', 'bocor']",aja email kak ame bocor trus nomor nyambung email mending cari getcontact trus diblock kak kalo ngga kenal ngatasin data bocor
b'Data yang Bocor Berpotensi Disalahgunakan Pelaku Terorisme https://t.co/89OI5jwAyX',Data yang Bocor Berpotensi Disalahgunakan Pelaku Terorisme ,data yang bocor berpotensi disalahgunakan pelaku terorisme ,"['data', 'yang', 'bocor', 'berpotensi', 'disalahgunakan', 'pelaku', 'terorisme']","['data', 'bocor', 'berpotensi', 'disalahgunakan', 'pelaku', 'terorisme']",data bocor potensi disalahgunakan laku terorisme
b'Kok data lu bocor yaa?? Hmm isok ae lak mbujuki -rek https://t.co/kaxaeuCZAb',Kok data lu bocor yaa Hmm isok ae lak mbujuki rek ,kok data lu bocor yaa hmm isok ae lak mbujuki rek ,"['kok', 'data', 'lu', 'bocor', 'yaa', 'hmm', 'isok', 'ae', 'lak', 'mbujuki', 'rek']","['data', 'lu', 'bocor', 'yaa', 'hmm', 'isok', 'ae', 'lak', 'mbujuki', 'rek']",data lu bocor yaa hmm isok ae lak mbujuki rek
b'CISSReC Sebut Data Pribadi Bocor Bisa Digunakan\xc2\xa0Teroris https://t.co/jFvxMfEYlH',CISSReC Sebut Data Pribadi Bocor Bisa,cissrec sebut data pribadi bocor bisa,"['cissrec', 'sebut', 'data', 'pribadi', 'bocor', 'bisa']","['cissrec', 'data', 'pribadi', 'bocor']",cissrec data pribadi bocor
"b'@jeniushelp @yosimadsu Nasabah terpedaya karena data bocor halus, kirain bank beneran terpercaya ternyata cuma bisa ngeles, jebakan betmen'",Nasabah terpedaya karena data bocor halus kirain bank beneran terpercaya ternyata cuma bisa ngeles jebakan betmen,nasabah terpedaya karena data bocor halus kirain bank beneran terpercaya ternyata cuma bisa ngeles jebakan betmen,"['nasabah', 'terpedaya', 'karena', 'data', 'bocor', 'halus', 'kirain', 'bank', 'beneran', 'terpercaya', 'ternyata', 'cuma', 'bisa', 'ngeles', 'jebakan', 'betmen']","['nasabah', 'terpedaya', 'data', 'bocor', 'halus', 'kirain', 'bank', 'beneran', 'terpercaya', 'ngeles', 'jebakan', 'betmen']",nasabah daya data bocor halus kirain bank beneran percaya ngeles jebak betmen
"b'Banyak banget lho risiko dari data pribadi yang bocor. Makanya Sobat Keva harus hati-hati jaga data pribadi, jangan sampai data diri sampai di tangan yang tidak bertanggung jawab.\n\n#yukevaid #digitalfuture #fakta #faktakeva #faktaunik #peretasan #hacker #datapribadi #illegal'",Banyak banget lho risiko dari data pribadi yang bocor Makanya Sobat Keva harus hatihati jaga data pribadi jangan sampai data diri sampai di tangan yang tidak bertanggung jawabnn ,banyak banget lho risiko dari data pribadi yang bocor makanya sobat keva harus hatihati jaga data pribadi jangan sampai data diri sampai di tangan yang tidak bertanggung jawabnn ,"['banyak', 'banget', 'lho', 'risiko', 'dari', 'data', 'pribadi', 'yang', 'bocor', 'makanya', 'sobat', 'keva', 'harus', 'hatihati', 'jaga', 'data', 'pribadi', 'jangan', 'sampai', 'data', 'diri', 'sampai', 'di', 'tangan', 'yang', 'tidak', 'bertanggung', 'jawabnn']","['banget', 'lho', 'risiko', 'data', 'pribadi', 'bocor', 'sobat', 'keva', 'hatihati', 'jaga', 'data', 'pribadi', 'data', 'tangan', 'bertanggung', 'jawabnn']",banget lho risiko data pribadi bocor sobat keva hatihati jaga data pribadi data tangan tanggung jawabnn
b'CISSReC: Teroris Pakai Data WNI yang Bocor untuk Rekrut Anggota Baru https://t.co/mbNOaQvx3v https://t.co/Z7v26Avonj',CISSReC Teroris Pakai Data WNI yang Bocor untuk Rekrut Anggota Baru,cissrec teroris pakai data wni yang bocor untuk rekrut anggota baru,"['cissrec', 'teroris', 'pakai', 'data', 'wni', 'yang', 'bocor', 'untuk', 'rekrut', 'anggota', 'baru']","['cissrec', 'teroris', 'pakai', 'data', 'wni', 'bocor', 'rekrut', 'anggota']",cissrec teroris pakai data wni bocor rekrut anggota
b'Data bocor dapat digunakan oleh pelaku terorisme\n\nhttps://t.co/PIZ2VZRvK7',Data bocor dapat digunakan oleh pelaku terorismenn,data bocor dapat digunakan oleh pelaku terorismenn,"['data', 'bocor', 'dapat', 'digunakan', 'oleh', 'pelaku', 'terorismenn']","['data', 'bocor', 'pelaku', 'terorismenn']",data bocor laku terorismenn
b'@isekaiu Lagi perbaikan kali bok gara2 data ktp bocor', Lagi perbaikan kali bokdata ktp bocor, lagi perbaikan kali bokdata ktp bocor,"['lagi', 'perbaikan', 'kali', 'bokdata', 'ktp', 'bocor']","['perbaikan', 'kali', 'bokdata', 'ktp', 'bocor']",baik kali bokdata ktp bocor
b'Data Bocor Bisa Digunakan Oleh Pelaku\xc2\xa0Terorisme https://t.co/nm0MLlWvDj',Data Bocor Bisa Digunakan Oleh,data bocor bisa digunakan oleh,"['data', 'bocor', 'bisa', 'digunakan', 'oleh']","['data', 'bocor']",data bocor
b'Gilaa ada yang ngaku pinjol nelp ke mutual twitter gw yang sama sekali gw gakpunya nomernya. Tapi dia tau nama lengkap gue dan alamat. Serem banget apalagi pas cek nomernya di Getcontact. Dari mana yaa taunya? Masa data gw bocor? https://t.co/7mIAMdZptM',Gilaa ada yang ngaku pinjol nelp ke mutual twitter gw yang sama sekali gw gakpunya nomernya Tapi dia tau nama lengkap gue dan alamat Serem banget apalagi pas cek nomernya di Getcontact Dari mana yaa taunya Masa data gw bocor ,gilaa ada yang ngaku pinjol nelp ke mutual twitter gw yang sama sekali gw gakpunya nomernya tapi dia tau nama lengkap gue dan alamat serem banget apalagi pas cek nomernya di getcontact dari mana yaa taunya masa data gw bocor ,"['gilaa', 'ada', 'yang', 'ngaku', 'pinjol', 'nelp', 'ke', 'mutual', 'twitter', 'gw', 'yang', 'sama', 'sekali', 'gw', 'gakpunya', 'nomernya', 'tapi', 'dia', 'tau', 'nama', 'lengkap', 'gue', 'dan', 'alamat', 'serem', 'banget', 'apalagi', 'pas', 'cek', 'nomernya', 'di', 'getcontact', 'dari', 'mana', 'yaa', 'taunya', 'masa', 'data', 'gw', 'bocor']","['gilaa', 'ngaku', 'pinjol', 'nelp', 'mutual', 'twitter', 'gw', 'gw', 'gakpunya', 'nomernya', 'tau', 'nama', 'lengkap', 'gue', 'alamat', 'serem', 'banget', 'pas', 'cek', 'nomernya', 'getcontact', 'yaa', 'taunya', 'data', 'gw', 'bocor']",gilaa ngaku pinjol nelp mutual twitter gw gw gakpunya nomernya tau nama lengkap gue alamat rem banget pas cek nomernya getcontact yaa tau data gw bocor
